no,code,company_name,listing_date,shares,listing_board
320,MRAT,Mustika Ratu Tbk.,27 Jul 1995,"428,000,000",Development
321,MREI,Maskapai Reasuransi Indonesia ,04 Sep 1989,"517,791,681",Main
322,MSKY,MNC Sky Vision Tbk.,09 Jul 2012,"1,994,370,480",Development
323,MTDL,Metrodata Electronics Tbk.,09 Apr 1990,"12,276,884,585",Main
324,MTFN,Capitalinc Investment Tbk.,16 Apr 1990,"31,842,082,852",Watchlist
325,MTLA,Metropolitan Land Tbk.,20 Jun 2011,"7,655,126,330",Main
326,MTSM,Metro Realty Tbk.,08 Jan 1992,"232,848,000",Watchlist
327,MYOH,Samindo Resources Tbk.,27 Jul 2000,"2,206,312,500",Development
328,MYOR,Mayora Indah Tbk.,04 Jul 1990,"22,358,699,725",Main
329,MYTX,Asia Pacific Investama Tbk.,10 Oct 1989,"7,747,281,949",Watchlist
330,NELY,Pelayaran Nelly Dwi Putri Tbk.,11 Oct 2012,"2,350,000,000",Development
331,NIKL,Pelat Timah Nusantara Tbk.,14 Dec 2009,"2,523,350,000",Development
332,NIRO,City Retail Developments Tbk.,13 Sep 2012,"22,198,871,804",Development
333,NISP,Bank OCBC NISP Tbk.,20 Oct 1994,"22,715,776,032",Main
334,NOBU,Bank Nationalnobu Tbk.,20 May 2013,"7,403,659,460",Development
335,NRCA,Nusa Raya Cipta Tbk.,27 Jun 2013,"2,496,258,344",Watchlist
336,OCAP,Onix Capital Tbk.,10 Oct 2003,"273,200,000",Watchlist
337,OKAS,Ancora Indonesia Resources Tbk,29 Mar 2006,"2,373,449,165",Development
338,OMRE,Indonesia Prima Property Tbk,22 Agt 1994,"2,945,211,000",Watchlist
339,PADI,Minna Padi Investama Sekuritas,09 Jan 2012,"11,307,246,524",Development
340,PALM,Provident Investasi Bersama Tb,08 Oct 2012,"15,732,874,458",Development
341,PANR,Panorama Sentrawisata Tbk.,18 Sep 2001,"1,387,500,000",Main
342,PANS,Panin Sekuritas Tbk.,31 May 2000,"720,000,000",Main
343,PBRX,Pan Brothers Tbk.,16 Agt 1990,"21,482,028,246",Watchlist
344,PDES,Destinasi Tirta Nusantara Tbk,08 Jul 2008,"715,000,000",Development
345,PEGE,Panca Global Kapital Tbk.,24 Jun 2005,"2,833,417,056",Development
346,PGAS,Perusahaan Gas Negara Tbk.,15 Dec 2003,"24,241,508,196",Main
347,PGLI,Pembangunan Graha Lestari Inda,05 Apr 2000,"488,000,000",Development
348,PICO,Pelangi Indah Canindo Tbk,23 Sep 1996,"568,375,000",Development
349,PJAA,Pembangunan Jaya Ancol Tbk.,02 Jul 2004,"1,599,999,996",Development
350,PKPK,Paragon Karya Perkasa Tbk.,11 Jul 2007,"1,200,000,000",Development
351,PLAS,Polaris Investama Tbk,16 Mar 2001,"1,184,200,000",Watchlist
352,PLIN,Plaza Indonesia Realty Tbk.,15 Jun 1992,"3,550,000,000",Watchlist
353,PNBN,Bank Pan Indonesia Tbk,29 Dec 1982,"23,837,645,998",Main
354,PNBS,Bank Panin Dubai Syariah Tbk.,15 Jan 2014,"38,425,504,906",Development
355,PNIN,Paninvest Tbk.,20 Sep 1983,"4,068,323,920",Main
356,PNLF,Panin Financial Tbk.,14 Jun 1983,"32,022,073,293",Main
357,PNSE,Pudjiadi & Sons Tbk.,01 May 1990,"797,813,496",Development
358,POLY,Asia Pacific Fibers Tbk,12 Mar 1991,"2,495,753,334",Watchlist
359,POOL,Pool Advista Indonesia Tbk.,20 May 1991,"2,341,366,264",Watchlist
360,PPRO,PP Properti Tbk.,19 May 2015,"61,675,671,883",Watchlist
361,PSAB,J Resources Asia Pasifik Tbk.,22 Apr 2003,"26,460,000,000",Development
362,PSDN,Prasidha Aneka Niaga Tbk,18 Oct 1994,"1,440,000,000",Development
363,PSKT,Red Planet Indonesia Tbk.,19 Sep 1995,"10,351,231,636",Watchlist
364,PTBA,Bukit Asam Tbk.,23 Dec 2002,"11,520,659,250",Main
365,PTIS,Indo Straits Tbk.,12 Jul 2011,"550,165,300",Development
366,PTPP,PP (Persero) Tbk.,09 Feb 2010,"6,199,897,354",Main
367,PTRO,Petrosea Tbk.,21 May 1990,"10,086,050,000",Main
368,PTSN,Sat Nusapersada Tbk,08 Nov 2007,"5,314,344,000",Development
369,PTSP,Pioneerindo Gourmet Internatio,30 May 1994,"220,808,000",Development
370,PUDP,Pudjiadi Prestige Tbk.,18 Nov 1994,"659,120,000",Development
371,PWON,Pakuwon Jati Tbk.,09 Oct 1989,"48,159,602,400",Main
372,PYFA,Pyridam Farma Tbk,16 Oct 2001,"11,236,692,278",Development
373,RAJA,Rukun Raharja Tbk.,19 Apr 2006,"4,227,082,500",Main
374,RALS,Ramayana Lestari Sentosa Tbk.,24 Jul 1996,"7,096,000,000",Main
375,RANC,Supra Boga Lestari Tbk.,07 Jun 2012,"1,564,487,500",Development
376,RBMS,Ristia Bintang Mahkotasejati T,19 Dec 1997,"2,656,212,826",Watchlist
377,RDTX,Roda Vivatex Tbk,14 May 1990,"268,800,000",Development
378,RELI,Reliance Sekuritas Indonesia T,13 Jul 2005,"1,800,000,000",Development
379,RICY,Ricky Putra Globalindo Tbk,22 Jan 1998,"641,717,510",Watchlist
380,RIGS,Rig Tenders Indonesia Tbk.,05 Mar 1990,"609,130,000",Development
381,RIMO,Rimo International Lestari Tbk,10 Nov 2000,"45,080,600,000",Watchlist
382,RODA,Pikko Land Development Tbk.,22 Oct 2001,"13,592,128,209",Watchlist
383,ROTI,Nippon Indosari Corpindo Tbk.,28 Jun 2010,"6,186,488,888",Development
384,RUIS,Radiant Utama Interinsco Tbk.,12 Jul 2006,"770,000,000",Development
385,SAFE,Steady Safe Tbk,15 Agt 1994,"821,207,512",Development
386,SAME,Sarana Meditama Metropolitan T,11 Jan 2013,"17,147,132,545",Main
387,SCCO,Supreme Cable Manufacturing & ,20 Jul 1982,"822,333,600",Development
388,SCMA,Surya Citra Media Tbk.,16 Jul 2002,"73,970,569,505",Main
389,SCPI,Organon Pharma Indonesia Tbk.,08 Jun 1990,"3,600,000",Watchlist
390,SDMU,Sidomulyo Selaras Tbk.,12 Jul 2011,"1,135,225,000",Development
391,SDPC,Millennium Pharmacon Internati,07 May 1990,"1,274,000,000",Development
392,SDRA,Bank Woori Saudara Indonesia 1,15 Dec 2006,"14,545,267,990",Development
393,SGRO,Sampoerna Agro Tbk.,18 Jun 2007,"1,818,622,000",Main
394,SHID,Hotel Sahid Jaya International,08 May 1990,"1,119,326,168",Development
395,SIDO,Industri Jamu dan Farmasi Sido,18 Dec 2013,"30,000,000,000",Main
396,SILO,Siloam International Hospitals,12 Sep 2013,"13,006,125,000",Main
397,SIMA,Siwani Makmur Tbk,03 Jun 1994,"442,589,871",Watchlist
398,SIMP,Salim Ivomas Pratama Tbk.,09 Jun 2011,"15,501,310,000",Main
399,SIPD,Sreeya Sewu Indonesia Tbk.,27 Dec 1996,"1,839,102,056",Watchlist
400,SKBM,Sekar Bumi Tbk.,28 Sep 2012,"1,730,103,217",Development
401,SKLT,Sekar Laut Tbk.,08 Sep 1993,"6,907,405,000",Development
402,SKYB,Northcliff Citranusa Indonesia,07 Jul 2010,"585,000,000",Watchlist
403,SMAR,Sinar Mas Agro Resources and T,20 Nov 1992,"2,872,193,366",Main
404,SMBR,Semen Baturaja Tbk.,28 Jun 2013,"9,932,534,336",Main
405,SMCB,Solusi Bangun Indonesia Tbk.,10 Agt 1977,"9,019,381,973",Watchlist
406,SMDM,Suryamas Dutamakmur Tbk.,12 Oct 1995,"4,772,138,237",Development
407,SMDR,Samudera Indonesia  Tbk.,05 Jul 1999,"16,375,600,000",Main
408,SMGR,Semen Indonesia (Persero) Tbk.,08 Jul 1991,"6,751,540,089",Main
409,SMMA,Sinarmas Multiartha Tbk.,05 Jul 1995,"6,367,664,717",Main
410,SMMT,Golden Eagle Energy Tbk.,01 Dec 1997,"3,425,000,000",Development
411,SMRA,Summarecon Agung Tbk.,07 May 1990,"16,508,568,358",Main
412,SMRU,SMR Utama Tbk.,10 Oct 2011,"12,499,385,782",Watchlist
413,SMSM,Selamat Sempurna Tbk.,09 Sep 1996,"5,758,675,440",Main
414,SOCI,Soechi Lines Tbk.,03 Dec 2014,"7,059,000,000",Development
415,SONA,Sona Topas Tourism Industry Tb,21 Jul 1992,"662,400,000",Development
416,SPMA,Suparma Tbk.,16 Nov 1994,"4,100,317,438",Development
417,SQMI,Wilton Makmur Indonesia Tbk.,15 Jul 2004,"15,537,591,429",Watchlist
418,SRAJ,Sejahteraraya Anugrahjaya Tbk.,11 Apr 2011,"12,238,959,990",Development
419,SRIL,Sri Rejeki Isman Tbk.,17 Jun 2013,"20,452,176,844",Watchlist
420,SRSN,Indo Acidatama Tbk,11 Jan 1993,"6,020,000,000",Development
421,SRTG,Saratoga Investama Sedaya Tbk.,26 Jun 2013,"13,564,835,000",Main
422,SSIA,Surya Semesta Internusa Tbk.,27 Mar 1997,"4,705,249,440",Main
423,SSMS,Sawit Sumbermas Sarana Tbk.,12 Dec 2013,"9,525,000,000",Main
424,SSTM,Sunson Textile Manufacture Tbk,20 Agt 1997,"1,170,909,181",Development
425,STAR,Buana Artha Anugerah Tbk.,13 Jul 2011,"4,800,000,602",Watchlist
426,STTP,Siantar Top Tbk.,16 Dec 1996,"1,310,000,000",Development
427,SUGI,Sugih Energy Tbk.,19 Jun 2002,"24,811,541,414",Watchlist
428,SULI,SLJ Global Tbk.,21 Mar 1994,"6,320,776,836",Development
429,SUPR,Solusi Tunas Pratama Tbk.,11 Oct 2011,"1,137,579,698",Watchlist
430,TALF,Tunas Alfin Tbk.,17 Jan 2014,"1,353,435,000",Development
431,TARA,Agung Semesta Sejahtera Tbk.,11 Jul 2014,"10,069,645,750",Watchlist
432,TAXI,Express Transindo Utama Tbk.,02 Nov 2012,"10,223,647,156",Watchlist
433,TBIG,Tower Bersama Infrastructure T,26 Oct 2010,"22,656,999,445",Main
434,TBLA,Tunas Baru Lampung Tbk.,14 Feb 2000,"6,025,373,372",Main
435,TBMS,Tembaga Mulia Semanan Tbk.,23 May 1990,"734,680,000",Development
436,TCID,Mandom Indonesia Tbk.,30 Sep 1993,"402,133,334",Development
437,TELE,Omni Inovasi Indonesia Tbk.,12 Jan 2012,"7,310,929,389",Watchlist
438,TFCO,Tifico Fiber Indonesia Tbk.,26 Feb 1980,"4,823,076,400",Watchlist
439,TGKA,Tigaraksa Satria Tbk.,11 Jun 1990,"918,492,750",Development
440,TIFA,KDB Tifa Finance Tbk.,08 Jul 2011,"3,552,213,000",Development
441,TINS,Timah Tbk.,19 Oct 1995,"7,447,753,454",Main
442,TIRA,Tira Austenite Tbk,27 Jul 1993,"588,000,000",Development
443,TIRT,Tirta Mahakam Resources Tbk,13 Dec 1999,"1,011,774,750",Watchlist
444,TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,03 Apr 1990,"3,113,223,570",Main
445,TLKM,Telkom Indonesia (Persero) Tbk,14 Nov 1995,"99,062,216,600",Main
446,TMAS,Temas Tbk.,09 Jul 2003,"57,051,500,000",Main
447,TMPO,Tempo Intimedia Tbk.,08 Jan 2001,"1,058,333,250",Development
448,TOBA,TBS Energi Utama Tbk.,06 Jul 2012,"8,257,402,931",Main
449,TOTL,Total Bangun Persada Tbk.,25 Jul 2006,"3,410,000,000",Main
450,TOTO,Surya Toto Indonesia Tbk.,30 Oct 1990,"10,320,000,000",Development
451,TOWR,Sarana Menara Nusantara Tbk.,08 Mar 2010,"59,098,103,731",Main
452,TPIA,Chandra Asri Pacific Tbk.,26 May 2008,"86,511,545,092",Development
453,TPMA,Trans Power Marine Tbk.,20 Feb 2013,"3,507,420,034",Main
454,TRAM,Trada Alam Minera Tbk.,10 Sep 2008,"49,643,627,934",Watchlist
455,TRIL,Triwira Insanlestari Tbk.,28 Jan 2008,"1,200,000,000",Watchlist
456,TRIM,Trimegah Sekuritas Indonesia T,31 Jan 2000,"7,109,300,000",Main
457,TRIO,Trikomsel Oke Tbk.,14 Apr 2009,"26,007,494,645",Watchlist
458,TRIS,Trisula International Tbk.,28 Jun 2012,"3,141,443,831",Development
459,TRST,Trias Sentosa Tbk.,02 Jul 1990,"2,808,000,000",Development
460,TRUS,Trust Finance Indonesia Tbk,28 Nov 2002,"800,000,000",Development
461,TSPC,Tempo Scan Pacific Tbk.,17 Jun 1994,"4,509,864,300",Main
462,ULTJ,Ultrajaya Milk Industry & Trad,02 Jul 1990,"10,398,175,200",Main
463,UNIC,Unggul Indah Cahaya Tbk.,06 Nov 1989,"383,331,363",Main
464,UNIT,Nusantara Inti Corpora Tbk,18 Apr 2002,"75,422,200",Development
465,UNSP,Bakrie Sumatera Plantations Tb,06 Mar 1990,"2,500,162,344",Watchlist
466,UNTR,United Tractors Tbk.,19 Sep 1989,"3,730,135,136",Main
467,UNVR,Unilever Indonesia Tbk.,11 Jan 1982,"38,150,000,000",Main
468,VICO,Victoria Investama Tbk.,08 Jul 2013,"15,217,075,658",Main
469,VINS,Victoria Insurance Tbk.,28 Sep 2015,"1,553,430,759",Development
470,VIVA,Visi Media Asia Tbk.,21 Nov 2011,"16,464,270,400",Watchlist
471,VOKS,Voksel Electric Tbk.,20 Dec 1990,"4,155,602,595",Development
472,VRNA,Mizuho Leasing Indonesia Tbk.,25 Jun 2008,"5,687,353,997",Development
473,WAPO,Wahana Pronatural Tbk.,22 Jun 2001,"1,240,923,111",Development
474,WEHA,WEHA Transportasi Indonesia Tb,31 May 2007,"1,460,554,819",Development
475,WICO,Wicaksana Overseas Internation,08 Agt 1994,"2,393,710,348",Watchlist
476,WIIM,Wismilak Inti Makmur Tbk.,18 Dec 2012,"2,099,873,760",Main
477,WIKA,Wijaya Karya (Persero) Tbk.,29 Oct 2007,"39,873,063,858",Watchlist
478,WINS,Wintermar Offshore Marine Tbk.,29 Nov 2010,"4,460,988,262",Main
479,WOMF,Wahana Ottomitra Multiartha Tb,13 Dec 2004,"3,481,481,480",Development
480,WSKT,Waskita Karya (Persero) Tbk.,19 Dec 2012,"28,806,807,016",Watchlist
481,WTON,Wijaya Karya Beton Tbk.,08 Apr 2014,"8,715,466,600",Main
482,YPAS,Yanaprima Hastapersada Tbk,05 Mar 2008,"668,000,089",Development
483,YULE,Yulie Sekuritas Indonesia Tbk.,10 Dec 2004,"1,785,000,000",Development
484,ZBRA,Dosni Roha Indonesia Tbk.,01 Agt 1991,"2,510,706,263",Watchlist
485,SHIP,Sillo Maritime Perdana Tbk.,16 Jun 2016,"2,719,790,000",Main
486,CASA,Capital Financial Indonesia Tb,19 Jul 2016,"54,476,269,803",Development
487,DAYA,Duta Intidaya Tbk.,28 Jun 2016,"2,420,547,025",Development
488,DPUM,Dua Putra Utama Makmur Tbk.,08 Dec 2015,"4,175,000,000",Development
489,IDPR,Indonesia Pondasi Raya Tbk.,10 Dec 2015,"2,003,000,000",Development
490,JGLE,Graha Andrasentra Propertindo ,29 Jun 2016,"22,581,909,405",Watchlist
491,KINO,Kino Indonesia Tbk.,11 Dec 2015,"1,428,571,500",Development
492,MARI,Mahaka Radio Integra Tbk.,11 Feb 2016,"5,252,644,000",Watchlist
493,MKNT,Mitra Komunikasi Nusantara Tbk,26 Oct 2015,"5,500,000,000",Watchlist
494,MTRA,Mitra Pemuda Tbk.,10 Feb 2016,"770,000,000",Watchlist
495,OASA,Maharaksa Biru Energi Tbk.,18 Jul 2016,"6,347,220,000",Development
496,POWR,Cikarang Listrindo Tbk.,14 Jun 2016,"16,087,156,000",Main
497,INCF,Indo Komoditi Korpora Tbk.,06 Sep 2016,"1,438,370,465",Watchlist
498,WSBP,Waskita Beton Precast Tbk.,20 Sep 2016,"56,780,478,486",Watchlist
499,PBSA,Paramita Bangun Sarana Tbk.,28 Sep 2016,"3,000,000,000",Development
500,PRDA,Prodia Widyahusada Tbk.,07 Dec 2016,"937,500,000",Main
501,BOGA,Bintang Oto Global Tbk.,19 Dec 2016,"3,803,526,210",Development
502,BRIS,Bank Syariah Indonesia Tbk.,09 May 2018,"45,667,877,639",Main
503,PORT,Nusantara Pelabuhan Handal Tbk,16 Mar 2017,"2,813,941,985",Development
504,CARS,Industri dan Perdagangan Bintr,10 Apr 2017,"15,000,000,000",Main
505,MINA,Sanurhasta Mitra Tbk.,28 Apr 2017,"9,843,750,000",Watchlist
506,CLEO,Sariguna Primatirta Tbk.,05 May 2017,"24,000,000,000",Main
507,TAMU,Pelayaran Tamarin Samudra Tbk.,10 May 2017,"37,500,000,000",Watchlist
508,CSIS,Cahayasakti Investindo Sukses ,10 May 2017,"1,307,000,000",Development
509,TGRA,Terregra Asia Energy Tbk.,16 May 2017,"2,750,000,000",Watchlist
510,FIRE,Alfa Energi Investama Tbk.,09 Jun 2017,"1,475,363,179",Development
511,TOPS,Totalindo Eka Persada Tbk.,16 Jun 2017,"33,330,000,000",Watchlist
512,KMTR,Kirana Megatara Tbk.,19 Jun 2017,"8,215,366,379",Development
513,ARMY,Armidian Karyatama Tbk.,21 Jun 2017,"9,006,250,000",Watchlist
514,MAPB,MAP Boga Adiperkasa Tbk.,21 Jun 2017,"2,387,922,900",Development
515,WOOD,Integra Indocabinet Tbk.,21 Jun 2017,"6,437,500,000",Main
516,HRTA,Hartadinata Abadi Tbk.,21 Jun 2017,"4,605,262,400",Main
517,MABA,Marga Abhinaya Abadi Tbk.,22 Jun 2017,"15,365,229,912",Watchlist
518,HOKI,Buyung Poetra Sembada Tbk.,22 Jun 2017,"9,677,752,680",Development
519,MPOW,Megapower Makmur Tbk.,05 Jul 2017,"816,997,053",Development
520,MARK,Mark Dynamics Indonesia Tbk.,12 Jul 2017,"3,800,000,310",Main
521,NASA,Andalan Perkasa Abadi Tbk.,07 Agt 2017,"11,004,929,322",Watchlist
522,MDKI,Emdeki Utama Tbk.,25 Sep 2017,"2,530,150,002",Development
523,BELL,Trisula Textile Industries Tbk,03 Oct 2017,"7,250,000,000",Development
524,KIOS,Kioson Komersial Indonesia Tbk,05 Oct 2017,"1,075,862,960",Development
525,GMFI,Garuda Maintenance Facility Ae,10 Oct 2017,"37,565,978,976",Watchlist
526,MTWI,Malacca Trust Wuwungan Insuran,12 Oct 2017,"2,924,486,639",Development
527,ZINC,Kapuas Prima Coal Tbk.,16 Oct 2017,"25,250,000,000",Watchlist
528,MCAS,M Cash Integrasi Tbk.,01 Nov 2017,"867,933,300",Main
529,PPRE,PP Presisi Tbk.,24 Nov 2017,"10,224,271,000",Development
530,WEGE,Wijaya Karya Bangunan Gedung T,30 Nov 2017,"9,572,000,000",Development
531,PSSI,IMC Pelita Logistik Tbk.,05 Dec 2017,"5,417,063,153",Main
532,MORA,Mora Telematika Indonesia Tbk.,08 Agt 2022,"23,646,668,691",Main
533,DWGL,Dwi Guna Laksana Tbk.,13 Dec 2017,"9,252,820,991",Development
534,PBID,Panca Budi Idaman Tbk.,13 Dec 2017,"7,500,000,000",Main
535,JMAS,Asuransi Jiwa Syariah Jasa Mit,18 Dec 2017,"1,000,000,000",Development
536,CAMP,Campina Ice Cream Industry Tbk,19 Dec 2017,"5,885,000,000",Development
537,IPCM,Jasa Armada Indonesia Tbk.,22 Dec 2017,"5,284,811,100",Main
538,PCAR,Prima Cakrawala Abadi Tbk.,29 Dec 2017,"1,166,666,700",Watchlist
539,LCKM,LCK Global Kedaton Tbk.,16 Jan 2018,"1,000,000,000",Development
540,BOSS,Borneo Olah Sarana Sukses Tbk.,15 Feb 2018,"1,400,000,000",Watchlist
541,HELI,Jaya Trishindo Tbk.,27 Mar 2018,"832,862,387",Development
542,JSKY,Sky Energy Indonesia Tbk.,28 Mar 2018,"2,032,540,000",Watchlist
543,INPS,Indah Prakasa Sentosa Tbk.,06 Apr 2018,"650,000,000",Watchlist
544,GHON,Gihon Telekomunikasi Indonesia,09 Apr 2018,"550,000,000",Development
545,TDPM,Tianrong Chemicals Industry Tb,09 Apr 2018,"10,485,050,500",Watchlist
546,DFAM,Dafam Property Indonesia Tbk.,27 Apr 2018,"1,899,852,850",Development
547,NICK,Charnic Capital Tbk.,02 May 2018,"651,150,000",Development
548,BTPS,Bank BTPN Syariah Tbk.,08 May 2018,"7,626,663,000",Main
549,SPTO,Surya Pertiwi Tbk.,14 May 2018,"2,700,000,000",Main
550,PRIM,Royal Prima Tbk.,15 May 2018,"3,393,434,905",Development
551,HEAL,Medikaloka Hermina Tbk.,16 May 2018,"15,365,950,000",Main
552,TRUK,Guna Timur Raya Tbk.,23 May 2018,"435,000,000",Development
553,PZZA,Sarimelati Kencana Tbk.,23 May 2018,"3,021,875,000",Development
554,TUGU,Asuransi Tugu Pratama Indonesi,28 May 2018,"3,555,575,600",Main
555,MSIN,MNC Digital Entertainment Tbk.,08 Jun 2018,"60,676,178,205",Main
556,SWAT,Sriwahana Adityakarta Tbk.,08 Jun 2018,"3,019,200,000",Watchlist
557,TNCA,Trimuda Nuansa Citra Tbk.,28 Jun 2018,"421,640,000",Development
558,MAPA,Map Aktif Adiperkasa Tbk.,05 Jul 2018,"28,504,000,000",Main
559,TCPI,Transcoal Pacific Tbk.,06 Jul 2018,"5,000,000,000",Development
560,IPCC,Indonesia Kendaraan Terminal T,09 Jul 2018,"1,818,384,820",Main
561,RISE,Jaya Sukses Makmur Sentosa Tbk,09 Jul 2018,"10,945,000,000",Development
562,BPTR,Batavia Prosperindo Trans Tbk.,09 Jul 2018,"3,534,000,000",Development
563,POLL,Pollux Properties Indonesia Tb,11 Jul 2018,"8,318,823,600",Watchlist
564,NFCX,NFC Indonesia Tbk.,12 Jul 2018,"666,667,500",Development
565,MGRO,Mahkota Group Tbk.,12 Jul 2018,"3,554,445,700",Development
566,NUSA,Sinergi Megah Internusa Tbk.,12 Jul 2018,"7,700,000,148",Watchlist
567,FILM,MD Entertainment Tbk.,07 Agt 2018,"10,887,566,758",Watchlist
568,ANDI,Andira Agro Tbk.,16 Agt 2018,"9,350,000,000",Watchlist
569,LAND,Trimitra Propertindo Tbk.,23 Agt 2018,"2,792,620,000",Watchlist
570,MOLI,Madusari Murni Indah Tbk.,30 Agt 2018,"2,724,036,581",Development
571,PANI,Pantai Indah Kapuk Dua Tbk.,18 Sep 2018,"17,684,078,866",Main
572,DIGI,Arkadia Digital Media Tbk.,18 Sep 2018,"1,625,000,000",Watchlist
573,CITY,Natura City Developments Tbk.,28 Sep 2018,"5,405,188,966",Development
574,SAPX,Satria Antaran Prima Tbk.,03 Oct 2018,"833,333,300",Development
575,SURE,Super Energy Tbk.,05 Oct 2018,"1,497,576,771",Development
576,HKMU,HK Metals Utama Tbk.,09 Oct 2018,"3,221,750,000",Watchlist
577,MPRO,Maha Properti Indonesia Tbk.,09 Oct 2018,"9,942,500,000",Watchlist
578,DUCK,Jaya Bersama Indo Tbk.,10 Oct 2018,"1,283,330,000",Watchlist
579,GOOD,Garudafood Putra Putri Jaya Tb,10 Oct 2018,"36,897,901,455",Main
580,SKRN,Superkrane Mitra Utama Tbk.,11 Oct 2018,"7,500,000,000",Main
581,YELO,Yelooo Integra Datanet Tbk.,29 Oct 2018,"1,912,774,405",Development
582,CAKK,Cahayaputra Asa Keramik Tbk.,31 Oct 2018,"1,203,300,219",Development
583,SATU,Kota Satu Properti Tbk.,05 Nov 2018,"1,375,000,000",Development
584,SOSS,Shield On Service Tbk.,06 Nov 2018,"799,414,231",Watchlist
585,DEAL,Dewata Freightinternational Tb,11 Nov 2018,"1,146,170,959",Watchlist
586,POLA,Pool Advista Finance Tbk.,16 Nov 2018,"3,351,075,600",Watchlist
587,DIVA,Distribusi Voucher Nusantara T,27 Nov 2018,"1,428,571,400",Development
588,LUCK,Sentral Mitra Informatika Tbk.,28 Nov 2018,"715,749,640",Development
589,URBN,Urban Jakarta Propertindo Tbk.,10 Dec 2018,"3,232,122,640",Development
590,SOTS,Satria Mega Kencana Tbk.,10 Dec 2018,"1,000,003,979",Development
591,ZONE,Mega Perintis Tbk.,12 Dec 2018,"870,171,478",Development
592,PEHA,Phapros Tbk.,26 Dec 2018,"840,000,000",Development
593,FOOD,Sentra Food Indonesia Tbk.,08 Jan 2019,"650,000,000",Watchlist
594,BEEF,Estika Tata Tiara Tbk.,10 Jan 2019,"8,120,249,598",Development
595,POLI,Pollux Hotels Group Tbk.,10 Jan 2019,"2,010,526,400",Watchlist
596,CLAY,Citra Putra Realty Tbk.,18 Jan 2019,"2,570,000,000",Development
597,NATO,Surya Permata Andalan Tbk.,18 Jan 2019,"8,001,111,504",Development
598,JAYA,Armada Berjaya Trans Tbk.,21 Feb 2019,"798,499,394",Development
599,COCO,Wahana Interfood Nusantara Tbk,20 Mar 2019,"3,559,455,924",Development
600,MTPS,Meta Epsi Tbk.,10 Apr 2019,"2,084,850,829",Watchlist
601,CPRI,Capri Nusa Satu Properti Tbk.,11 Apr 2019,"2,433,379,958",Watchlist
602,HRME,Menteng Heritage Realty Tbk.,12 Apr 2019,"5,958,750,000",Watchlist
603,POSA,Bliss Properti Indonesia Tbk.,10 May 2019,"8,388,870,206",Watchlist
604,JAST,Jasnita Telekomindo Tbk.,16 May 2019,"1,082,575,738",Development
605,FITT,Hotel Fitra International Tbk.,11 Jun 2019,"1,304,272,051",Development
606,BOLA,Bali Bintang Sejahtera Tbk.,17 Jun 2019,"6,000,000,000",Main
607,CCSI,Communication Cable Systems In,18 Jun 2019,"1,333,333,331",Development
608,SFAN,Surya Fajar Capital Tbk.,19 Jun 2019,"1,359,934,021",Development
609,POLU,Golden Flower Tbk.,26 Jun 2019,"750,000,000",Development
610,KJEN,Krida Jaringan Nusantara Tbk.,01 Jul 2019,"500,000,000",Development
611,KAYU,Darmi Bersaudara Tbk.,04 Jul 2019,"665,000,000",Watchlist
612,ITIC,Indonesian Tobacco Tbk.,04 Jul 2019,"940,720,000",Development
613,PAMG,Bima Sakti Pertiwi Tbk.,05 Jul 2019,"3,125,000,000",Development
614,IPTV,MNC Vision Networks Tbk.,08 Jul 2019,"42,197,950,841",Watchlist
615,BLUE,Berkah Prima Perkasa Tbk.,08 Jul 2019,"418,000,000",Development
616,ENVY,Envy Technologies Indonesia Tb,08 Jul 2019,"1,800,000,000",Watchlist
617,EAST,Eastparc Hotel Tbk.,09 Jul 2019,"4,126,405,336",Development
618,LIFE,MSIG Life Insurance Indonesia ,09 Jul 2019,"2,100,000,000",Development
619,FUJI,Fuji Finance Indonesia Tbk.,09 Jul 2019,"1,300,000,000",Development
620,KOTA,DMS Propertindo Tbk.,09 Jul 2019,"10,546,185,701",Watchlist
621,INOV,Inocycle Technology Group Tbk.,10 Jul 2019,"1,808,221,900",Development
622,ARKA,Arkha Jayanti Persada Tbk.,10 Jul 2019,"2,000,000,000",Watchlist
623,SMKL,Satyamitra Kemas Lestari Tbk.,11 Jul 2019,"3,418,085,290",Development
624,HDIT,Hensel Davest Indonesia Tbk.,12 Jul 2019,"1,524,680,000",Development
625,KEEN,Kencana Energi Lestari Tbk.,02 Sep 2019,"3,666,312,500",Main
626,BAPI,Bhakti Agung Propertindo Tbk.,16 Sep 2019,"5,591,980,103",Watchlist
627,TFAS,Telefast Indonesia Tbk.,17 Sep 2019,"1,666,666,500",Development
628,GGRP,Gunung Raja Paksi Tbk.,19 Sep 2019,"12,111,376,157",Development
629,OPMS,Optima Prima Metal Sinergi Tbk,23 Sep 2019,"1,000,000,000",Development
630,NZIA,Nusantara Almazia Tbk.,25 Sep 2019,"2,197,540,705",Development
631,SLIS,Gaya Abadi Sempurna Tbk.,07 Oct 2019,"2,463,338,061",Development
632,PURE,Trinitan Metals and Minerals T,09 Oct 2019,"1,375,181,505",Watchlist
633,IRRA,Itama Ranoraya Tbk.,15 Oct 2019,"1,600,000,000",Development
634,DMMX,Digital Mediatama Maxima Tbk.,21 Oct 2019,"7,692,307,700",Development
